datadate,account_values
20160104,1000000.0
20160105,999752.7053925494
20160106,996466.3863306668
20160107,989899.9063361085
20160108,986994.2203443549
20160111,988688.16017755
20160112,992455.5064752648
20160113,981062.3725740854
20160114,988397.2417481686
20160115,975160.4581720959
20160119,977613.3207172106
20160120,971305.3929388085
20160121,974700.7432766149
20160122,984471.0603311869
20160125,974361.0748893085
20160126,989431.2635904585
20160127,976228.2971326631
20160128,976561.2527423345
20160129,1006350.3370966725
20160201,1005343.9867595757
20160202,1004000.3794809448
20160203,1003900.791860194
20160204,1003900.791860194
20160205,1003900.791860194
20160208,1003900.791860194
20160209,1003900.791860194
20160210,1003900.791860194
20160211,1003129.7883775549
20160212,1006241.3135630244
20160216,1010340.6298140307
20160217,1015313.148185905
20160218,1012921.9300681301
20160219,1013045.0161393541
20160222,1020900.7684358992
20160223,1016534.8358912407
20160224,1018528.5864746657
20160225,1026197.4369370199
20160226,1024401.3877052737
20160229,1018296.1629521771
20160301,1036245.2660468975
20160302,1035145.5983124374
20160303,1038679.9148439193
20160304,1040928.5938351294
20160307,1040342.0789645249
20160308,1032888.0946296271
20160309,1034489.6536392276
20160310,1034730.4262833
20160311,1053040.3831913976
20160314,1053040.127011535
20160315,1055195.2485217168
20160316,1061334.4215252849
20160317,1067053.4847418787
20160318,1075494.8338997457
20160321,1076744.5316534184
20160322,1078101.4667714094
20160323,1077370.5103997234
20160324,1077133.7284761781
20160328,1077755.2325618926
20160329,1088182.275499818
20160330,1097891.11617641
20160331,1093371.519958724
20160401,1102439.175567356
20160404,1102395.098218202
