datadate,account_values
20200106,1516696.8253570565
20200107,1507974.3995395408
20200108,1518377.121888692
20200109,1530920.19818303
20200110,1524607.2652635935
20200113,1536712.0737707636
20200114,1533057.50252052
20200115,1534908.4104807456
20200116,1549238.5385922445
20200117,1553433.3768944358
20200121,1547014.7728966195
20200122,1548213.5669052228
20200123,1542681.187524337
20200124,1546665.5185093614
20200127,1545118.8529908522
20200128,1544974.7023993875
20200129,1544841.7139201113
20200130,1544841.7139201113
20200131,1544841.7139201113
20200203,1545530.9844293117
20200204,1548796.9880741248
20200205,1548529.1122827765
20200206,1548529.1122827765
20200207,1548529.1122827765
20200210,1548529.1122827765
20200211,1548529.1122827765
20200212,1549099.596463284
20200213,1548496.2034548153
20200214,1549090.3224825773
20200218,1545072.4972588425
20200219,1547732.904078537
20200220,1543505.080379631
20200221,1534201.0786628274
20200224,1497865.536653897
20200225,1463590.8970247936
20200226,1454759.6760776648
20200227,1398244.462982386
20200228,1393995.384751978
20200302,1454585.2109958082
20200303,1405459.5786660633
20200304,1466813.4051031137
20200305,1422086.4697281295
20200306,1420664.3832584014
20200309,1420664.3832584014
20200310,1420664.3832584014
20200311,1420664.3832584014
20200312,1420664.3832584014
20200313,1420664.3832584014
20200316,1420664.3832584014
20200317,1420664.3832584014
20200318,1420664.3832584014
20200319,1420664.3832584014
20200320,1420664.3832584014
20200323,1420664.3832584014
20200324,1420664.3832584014
20200325,1420664.3832584014
20200326,1420664.3832584014
20200327,1416978.0307419985
20200330,1416881.8934805496
20200331,1416881.8934805496
20200401,1416881.8934805496
20200402,1416881.8934805496
20200403,1416881.8934805496
