,turbulence_level,turbulence_threshold,is_above_threshold
20160405,59.25139481895304,140,False
20160406,56.392207316680356,140,False
20160407,58.96609448545431,140,False
20160408,55.081337121999844,140,False
20160411,59.0912824856459,140,False
20160412,55.09774473714111,140,False
20160413,49.751845736223046,140,False
20160414,52.12406491369633,140,False
20160415,53.24597628873666,140,False
20160418,56.411998837640276,140,False
20160419,57.04532092437644,140,False
20160420,67.70441345264193,140,False
20160421,77.90166040733932,140,False
20160422,70.42659548203964,140,False
20160425,72.57780907970721,140,False
20160426,75.71994498473877,140,False
20160427,74.64196339929568,140,False
20160428,78.40012974455334,140,False
20160429,68.09630156753124,140,False
20160502,67.18793881691556,140,False
20160503,70.20289247487342,140,False
20160504,72.99708222681504,140,False
20160505,76.22390857111509,140,False
20160506,81.97295748309034,140,False
20160509,79.93902924739956,140,False
20160510,74.30392304010483,140,False
20160511,64.31153425793848,140,False
20160512,59.53644221562175,140,False
20160513,58.07085301560666,140,False
20160516,59.287091512162064,140,False
20160517,56.0302331470261,140,False
20160518,60.71157572553131,140,False
20160519,61.69732857419982,140,False
20160520,57.423819332186575,140,False
20160523,60.746252456424216,140,False
20160524,61.232982190499115,140,False
20160525,60.464164270769345,140,False
20160526,55.01104226910157,140,False
20160527,53.447321459924964,140,False
20160531,56.11274230746022,140,False
20160601,59.59466143379946,140,False
20160602,63.045746814352846,140,False
20160603,72.40637625724702,140,False
20160606,79.84219042682501,140,False
20160607,73.59428522906866,140,False
20160608,82.99184014896548,140,False
20160609,77.78543137736257,140,False
20160610,66.99587874198153,140,False
20160613,58.477420646344115,140,False
20160614,70.0719087643208,140,False
20160615,57.95020986926697,140,False
20160616,56.20842552679071,140,False
20160617,52.173312883115024,140,False
20160620,51.773098805130275,140,False
20160621,48.5116151255282,140,False
20160622,47.58015485845382,140,False
20160623,55.66257889060989,140,False
20160624,48.50135696244328,140,False
20160627,53.39586871050378,140,False
20160628,53.58605744283613,140,False
20160629,54.98859744379217,140,False
20160630,67.06216016873053,140,False
20160701,65.07958986921626,140,False
